Job Title,Company,Location,Skill,Role,City
Human Resources Intern - HR Intern-Internship In HR_Indore Location,DigitalVia Technologies (OPC) Private Limited,"Indore, Madhya Pradesh  ",general skills,Human Resources Manager,Indore
HR Intern,Identicube - Animation Studio,"New Delhi, Delhi  ",r,Human Resources Manager,New Delhi
Manager - Digital Transformation - HRSS,Crisil,"Mumbai, Maharashtra  ","excel, git, leadership, r, excel",Human Resources Manager,Mumbai
Human Resources Manager,Trzy Innovationz,"Gurugram, Haryana  ",r,Human Resources Manager,Gurugram
HR Intern,Strategic Minds Business Services,India,r,Human Resources Manager,Kolkata
Technical Project Manager,OLIVER+,"Mumbai, Maharashtra  ","git, spark, projectmanagement, creativity, r",Project Manager,Mumbai
Scrum Master,Crisil,"Mumbai, Maharashtra  ","scrum, scrum, r",Project Manager,Mumbai
Associate Director - Transition Manager - Insurance Domain,Marsh McLennan India,"Mumbai, Maharashtra  ",general skills,Project Manager,Mumbai
Project Management,Crisil,"Pune, Maharashtra  ","r, communication",Project Manager,Pune
Associate Director – Enterprise Agile Delivery & Governance,Crisil,"Mumbai, Maharashtra  ",general skills,Project Manager,Mumbai
Digital Brand Strategist - Senior Associate/ Manager,Team Recruit Consultancies,"Bengaluru, Karnataka  ",general skills,Project Manager,Bengaluru
Technical Program Manager – Physical Design,NVIDIA,"Bengaluru, Karnataka  ",general skills,Project Manager,Bengaluru
AWS Cloud Architect,Rackspace Technology,"Gurgaon, Haryana  ","r, scala",Project Manager,Gurgaon
Senior Agency Manager,Aditya Birla Sun Life Insurance,"Nayagarh, Odisha  ",r,Project Manager,Nayagarh
Director - Project Manager,Marsh,"Mumbai, Maharashtra  ",r,Project Manager,Mumbai
Senior Relationship Manager-Business Banking,IDFC FIRST Bank,"Bengaluru, Karnataka  ",general skills,Project Manager,Bengaluru
Scrum Master And Program Manager,Crisil,"Pune, Maharashtra  ","excel, agile, scrum, agile, scrum, r, excel",Project Manager,Pune
Service Manager,Litmus7,"Kochi, Kerala  ","go, r",Project Manager,Kochi
Technical Scrum Master,Crisil,"Mumbai, Maharashtra  ",r,Project Manager,Mumbai
Project Coordinator (Partner's Payroll),Dun & Bradstreet,Mumbai Metropolitan Region,"html, html, r, communication, analytics, creativity, go",Project Manager,Mumbai Metropolitan Region
Strategic Project Associate,Handshake,"Bengaluru, Karnataka  ",r,Project Manager,Bengaluru
Analyst/Associate,DBS Bank,Pune/Pimpri-Chinchwad Area,general skills,Project Manager,Pune/Pimpri-Chinchwad Area
Senior Manager- Institutional sales,Bioprime™,"Pune, Maharashtra  ",r,Project Manager,Pune
AWS Cloud Architect,Rackspace Technology,India,"r, scala",Project Manager,Kolkata
Data engineer- DataStage/Abinitio,Innovya Technologies,India,general skills,Project Manager,Kolkata
Senior Food Regulatory Manager (Exports Labelling) - Mumbai,LabelBlind®️,"Mumbai, Maharashtra  ",general skills,Project Manager,Mumbai
Associate Technical Project Manager,Techs to Suit Inc,"Hyderabad, Telangana  ",r,Project Manager,Hyderabad
Senior ETL Developer - Informatica/DataStage/Abinitio,Innovya Technologies,India,general skills,Project Manager,Kolkata
Job Title,Company,Location,skill,Role,Location
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Chevy Chase, MD","excel, excel, budgeting, r, analytics, go",Data Analyst,Chevy Chase
Data Analytics & Visualization Specialist (Tableau & CARTO software SME),Jobs via Dice,"Bernards, NJ","python, sql, excel, aws, azure, excel, python, tableau, sql, dataanalysis, r, statistics, aws, businessstrategy, communication, presentationskills, etl, logistics, analytics, azure, snowflake, go",Data Analyst,Bernards
Applied AIML,TieTalent,"Jersey City, NJ","dataanalysis, sem, r, go",Data Analyst,Jersey City
Sr Data Engineer,Hirenza,United States,"excel, excel, creativity, r, scala, go",Data Analyst,United States
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Pittsburgh, PA","excel, excel, budgeting, r, analytics, go",Data Analyst,Pittsburgh
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Boise, ID","excel, excel, budgeting, r, analytics, go",Data Analyst,Boise
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Madison, WI","excel, excel, budgeting, r, analytics, go",Data Analyst,Madison
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Boston, MA","excel, excel, budgeting, r, analytics, go",Data Analyst,Boston
Data Analytics Summer Intern,Jobs via Dice,"Minneapolis, MN","excel, aws, leadership, excel, erp, r, aws",Data Analyst,Minneapolis
AWS Data Engineer (local candidates only,Perma Technologies,"Malvern, PA",r,Data Analyst,Malvern
Sr Data Analyst,Hirenza,United States,"excel, excel, communication, erp, r, analytics",Data Analyst,United States
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Kansas City, MO","excel, excel, budgeting, r, analytics, go",Data Analyst,Kansas City
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Houston, TX","excel, excel, budgeting, r, analytics, go",Data Analyst,Houston
Technical Support Analyst - FinTech (Ref: 8dceb),Referment,"New York, NY","sql, excel, git, excel, communication, sql, erp, r, jira, scala",Data Analyst,New York
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Raleigh, NC","excel, excel, budgeting, r, analytics, go",Data Analyst,Raleigh
Staff Engineer - Finance Data Specialist (Remote),GEICO,"San Diego, CA","excel, excel, budgeting, r, analytics, go",Data Analyst,San Diego
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Baltimore, MD","excel, excel, budgeting, r, analytics, go",Data Analyst,Baltimore
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Austin, TX","excel, excel, budgeting, r, analytics, go",Data Analyst,Austin
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Phoenix, AZ","excel, excel, budgeting, r, analytics, go",Data Analyst,Phoenix
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Seattle, WA","excel, excel, budgeting, r, analytics, go",Data Analyst,Seattle
Engine Systems Engineering Intern,Boom Supersonic,"Denver, CO","sem, r, problemsolving, go",Data Analyst,Denver
Data Engineer,S M Software Solutions Inc,"Mountain Gate, CA","r, analytics, dataengineering",Data Analyst,Mountain Gate
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Wilmington, DE","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Wilmington
ERP Technical Analyst,Piper Companies,"Raleigh, NC","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Raleigh
Staff Engineer - Finance Data Specialist (Remote),GEICO,"St Louis, MO","python, sql, excel, tableau, power bi, data visualization",Data Analyst,St Louis
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Cincinnati, OH","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Cincinnati
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Dover, DE","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Dover
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Salt Lake City, UT","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Salt Lake City
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Burlington, VT","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Burlington
Business Systems Analyst (Revenue Cycle,Saama,United States,"python, sql, excel, tableau, power bi, data visualization",Data Analyst,United States
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Philadelphia, PA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Philadelphia
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Denver, CO","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Denver
Regulatory Data Analyst,Jobs via Dice,United States,"python, sql, excel, tableau, power bi, data visualization",Data Analyst,United States
FinOps Data Analyst,Jobs via Dice,"King of Prussia, PA","python, sql, azure, businessintelligence, projectmanagement, analytics, excel, tableau, dataanalysis, ETL, communication,r, datawarehousing",Data Analyst,King of Prussia
Data Analyst (SQL,Jobs via Dice,"California, United States","python, sql, excel, tableau, power bi, data visualization",Data Analyst,California
Sr Data Engineer (SQL,Perennial Resources International,New York City Metropolitan Area,r,Data Analyst,New York City Metropolitan Area
Data Analyst,Jobs via Dice,"San Jose, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,San Jose
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Columbia, SC","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Columbia
Data Analyst,Best Job Tool,United States,"sql, excel, excel, tableau, sql, communication, r, analytics",Data Analyst,United States
ETL Data Engineer,TieTalent,United States,"python, excel, aws, azure, agile, powerbi, teamwork,  problemsolving, analytics, devops,  c#,  dataengineering, etl, criticalthinking, communication, statistics, scala, go, creativity, aws, r, erp, datawarehousing, sem",Data Analyst,United States
Data Engineer,Jobs via Dice,United States,"git, erp, r, analytics, machinelearning",Data Analyst,United States
Data Analyst,Advanced Software Talent,"South San Francisco, CA",r,Data Analyst,South San Francisco
Digital Asset Research Associate (Remote),CYBERSPHERE LIMITED,"San Marino, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,San Marino
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Hartford, CT","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Hartford
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Virginia Beach, VA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Virginia Beach
Analytics Engineer – Power BI,Learning Consultant,United States,"python, sql, excel, tableau, power bi, data visualization",Data Analyst,United States
Marketing Data Analyst,Hirenza,United States,"excel, excel, communication, r, sem, analytics",Data Analyst,United States
Data Engineer,HCLTech,"Washington, United States","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Washington
WANT YOUR WORK TO MEAN SOMETHING?,Driven Insights,"Gardner, MA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Gardner
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Nashville, TN","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Nashville
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Los Angeles, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Los Angeles
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Sacramento, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Sacramento
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Dallas, TX","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Dallas
Data Science Intern,Boom Supersonic,"Denver, CO","sem, r, go",Data Analyst,Denver
Applied AIML,TieTalent,"Plano, TX","dataanalysis, sem, r, go",Data Analyst,Plano
Data Analyst with Financial Domain (Only local to VA),Jobs via Dice,"McLean, VA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,McLean
GCP Engineer,Perma Technologies,"Plano, TX",r,Data Analyst,Plano
Staff Engineer - Finance Data Specialist (Remote),GEICO,"Charlotte, NC","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Charlotte
Administrative Analyst I/II/Senior - Police,TieTalent,"West Sacramento, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,West Sacramento
Data Analyst III,Jobs via Dice,"Bakersfield, CA","python, sql, excel, tableau, power bi, data visualization",Data Analyst,Bakersfield
VP Commercial & Ag Lending,TieTalent,"Clear Lake, IA","excel, communication, excel, r, sem",Business Analyst,Clear Lake
Business Analyst,"Botrista, Inc.","New York County, NY","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,New York County
Business Analyst - JD Edwards ERP System,APTIM,"Denver, CO","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Denver
Business Analyst,TEKsystems,"Canonsburg, PA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Canonsburg
Business Analyst,Jobs via Dice,"Austin, TX","excel, git, agile, excel, creativity, communication, erp, r, businessstrategy, agile, negotiation, projectmanagement, criticalthinking, businessanalysis, go",Business Analyst,Austin
Senior Risk & Compliance Analyst,Pacific Gas and Electric Company,"Oakland, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Oakland
Data Analytics Summer Intern,Jobs via Dice,"Minneapolis, MN","excel, aws, leadership, excel, erp, r, aws",Business Analyst,Minneapolis
Technical Analyst (MarTech,Jobs via Dice,"Dallas, TX","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Dallas
QNXT Business Analyst,Jobs via Dice,United States,"sql, agile, sql, agile, r, go",Business Analyst,United States
Lead Analyst Customer Information Management,HSBC,"Buffalo, NY","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Buffalo
Senior Compensation Analyst,Search Solution Group,Charlotte Metro,r,Business Analyst,Charlotte Metro
Business Analyst,One Oak Flow,"Scottsdale, AZ","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Scottsdale
Financial Analyst-Rebates,IKO North America,"Wilmington, DE","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Wilmington
Business Specialist,7H,"Dover, DE","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Dover
MANAGER,County of Los Angeles,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
ERP Technical Analyst,Piper Companies,"Raleigh, NC","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Raleigh
HEALTH PROGRAM ANALYST III/ EMERGENCY APPOINTMENTS HOMELESSNESS,County of Los Angeles,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
Senior Financial Analyst,Abbott,"Illinois, United States","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Illinois
Compliance Analyst - Grant Congruency Reviews,MD Anderson Cancer Center,"Houston, TX","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Houston
ENGINEERING AID II,County of Los Angeles,"Los Angeles, CA","sem, r, valuation, go",Business Analyst,Los Angeles
Business Analyst,Adecco,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
IT - Manufacturing Management Program (July 2026),MacLean-Fogg Company,"Buffalo, NY","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Buffalo
Business Systems Analyst (Revenue Cycle,Saama,United States,"sql, excel, power bi, requirements gathering, data visualization",Business Analyst,United States
FinOps Data Analyst,Jobs via Dice,"King of Prussia, PA","python, sql, excel, aws, azure, agile, scrum, businessintelligence, agile, projectmanagement, analytics, devops, azure, excel, python, tableau, dataanalysis, etl, communication, sql, scrum, jira, erp, r, datavisualization, aws, datawarehousing",Business Analyst,King of Prussia
Senior Structural Analyst I,STS Technical Services,"Westminster, CO","sem, r",Business Analyst,Westminster
Business Analyst 3 _Hybrid,Jobs via Dice,"Austin, TX",r,Business Analyst,Austin
Data Analyst (SQL,Jobs via Dice,"California, United States","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,California
Advanced Analytics - Data Scientist,Jobs via Dice,"Cincinnati, OH","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Cincinnati
IT Business Analyst,Best Job Tool,United States,"excel, leadership, excel, r, cybersecurity, go",Business Analyst,United States
Technical Business Analyst Intern (Potential Insure Your Future),Delta Dental of Iowa,"Johnston, IA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Johnston
Procurement Manager,Champion Foods LLC,"Gaffney, SC",r,Business Analyst,Gaffney
Principal Associate,TieTalent,"Richmond, VA","aws, dataanalysis, communication, aws, r, erp, problemsolving",Business Analyst,Richmond
BA/PM - Duck Creek Reinsurance,Jobs via Dice,United States,"r, businessanalysis",Business Analyst,United States
Analyst/Programmer 2/3/4 (12-4610),State of Alaska,"Juneau, AK","azure, communication, erp, r, sem, azure, go",Business Analyst,Juneau
Business Operations Process Analyst,TieTalent,"Holmdel, NJ","aws, communication, aws, r, go",Business Analyst,Holmdel
Purdue Global Senior Financial Analyst (Remote),Botany and Plant Pathology Department at Purdue University,United States,"sql, excel, power bi, requirements gathering, data visualization",Business Analyst,United States
Marketing Data Analyst,Hirenza,United States,"excel, excel, communication, r, sem, analytics",Business Analyst,United States
Business Analyst,Best Job Tool,United States,"excel, aws, agile, excel, r, aws, agile",Business Analyst,United States
SENIOR DISASTER SERVICES ANALYST,County of Los Angeles,"Los Angeles, CA","sas, erp, r, valuation, go",Business Analyst,Los Angeles
MENTAL HEALTH PROGRAM MANAGER II / EMERGENCY APPOINTMENTS HOMELESSNESS,County of Los Angeles,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
CTRM (Commodity Trading & Price Risk Management) Business Analyst,Jobs via Dice,"Houston, TX","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Houston
Business Process - Management Analyst III - Executive Assistant - Intermediate,TieTalent,"Arlington, TX","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Arlington
SVP,"DrFirst, Inc.",United States,"sql, excel, power bi, requirements gathering, data visualization",Business Analyst,United States
Business Analyst (MES),Acentra Health,United States,"sql, excel, power bi, requirements gathering, data visualization",Business Analyst,United States
SENIOR STAFF ANALYST,County of Los Angeles,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
Senior Tax Analyst,Brewer Morris,"Chicago, IL",r,Business Analyst,Chicago
Principal AI Engineer,Jobs via Dice,"Redmond, WA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Redmond
SENIOR INFORMATION SYSTEMS ANALYST/EMERGENCY APPOINTMENTS HOMELESSNESS,County of Los Angeles,"Los Angeles, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Los Angeles
ETRM Business Analyst,Jobs via Dice,"Houston, TX","sql, excel, excel, communication, sql, logistics, r, timemanagement, go",Business Analyst,Houston
Administrative Analyst I/II/Senior - Police,TieTalent,"West Sacramento, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,West Sacramento
Principal S2P Business Analyst,Pacific Gas and Electric Company,"Oakland, CA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Oakland
Business Operations / Finance Analyst,TieTalent,"Sterling, VA","sql, excel, power bi, requirements gathering, data visualization",Business Analyst,Sterling
Senior/Staff Software Engineer,Gatik,"Mountain View, CA","java, python, c++, sql, git, problem solving",Software Engineer,Mountain View
UI Developer,Hirenza,United States,"python, java, excel, javascript, html, css, aws, git, excel, html, java, python, css, aws, r, javascript, scala, snowflake, go",Software Engineer,United States
Senior Fullstack Developer,Accellor,"Piscataway, NJ","git, leadership, r, go",Software Engineer,Piscataway
AI Prompt & Product Engineer,Simbie AI,"New York, NY","java, python, c++, sql, git, problem solving",Software Engineer,New York
Front-End Developer (React),"Infinite Resource Solutions, LLC",Atlanta Metropolitan Area,"sql, react, leadership, sql, r",Software Engineer,Atlanta Metropolitan Area
C++ Developer,Atto Trading,"New York County, NY","java, python, c++, sql, git, problem solving",Software Engineer,New York County
Software Engineer - Prop-Tech,The Flex,"San Marino, CA","git, adaptability, r",Software Engineer,San Marino
Senior Software Engineer,Just Words,"San Francisco, CA","java, python, c++, sql, git, problem solving",Software Engineer,San Francisco
Systematics/FIS Software Engineer,"Zillion Technologies, Inc.",United States,r,Software Engineer,United States
AWS Data Engineer (local candidates only,Perma Technologies,"Malvern, PA","java, python, c++, sql, git, problem solving",Software Engineer,Malvern
Python Developer,S M Software Solutions Inc,"Mountain View, CA","python, scala, r, python",Software Engineer,Mountain View
Software Engineer Level 3 or 4 - R10205893,Northrop Grumman,"Aurora, CO","java, python, c++, sql, git, problem solving",Software Engineer,Aurora
Sr. Software Engineer,Vantage Point Consulting,"Santa Clara, CA","agile, devops, r, agile",Software Engineer,Santa Clara
Software Engineering Intern,Boom Supersonic,"Denver, CO","aws, aws, r, sem, go",Software Engineer,Denver
Senior Engineer - REMOTE,GEICO,"Chevy Chase, MD","java, python, c++, sql, git, problem solving",Software Engineer,Chevy Chase
Senior AI / ML Engineer,Endeavor Flow,United States,r,Software Engineer,United States
Engine Systems Engineering Intern,Boom Supersonic,"Denver, CO","sem, r, problemsolving, go",Software Engineer,Denver
Intern (Firmware),Nordson Corporation,"Minneapolis, MN","sem, r",Software Engineer,Minneapolis
Test Engineer,RightPro Staffing,"New Haven County, CT","java, python, c++, sql, git, problem solving",Software Engineer,New Haven County
Embedded Test Engineer,RightPro Staffing,"Hartford County, CT","java, python, c++, sql, git, problem solving",Software Engineer,Hartford County
Data Engineer,S M Software Solutions Inc,"Mountain Gate, CA","r, analytics, dataengineering",Software Engineer,Mountain Gate
Application Developer,Kyndryl,"Virginia, United States","java, python, c++, sql, git, problem solving",Software Engineer,Virginia
Programmer I,Mass General Brigham,"Boston, MA","java, python, c++, sql, git, problem solving",Software Engineer,Boston
Software Engineer,Hirenza,United States,"leadership, creativity, communication, r, spark, go",Software Engineer,United States
Future Employment Opportunities (Engineering & Product),Entera,"New York, NY","java, python, c++, sql, git, problem solving",Software Engineer,New York
Staff Machine Learning Scientist,EPM Scientific,"Boston, MA","java, python, c++, sql, git, problem solving",Software Engineer,Boston
Full Stack Developer,Hirenza,United States,"python, java, sql, excel, javascript, node, aws, docker, excel, java, python, sql, aws, r, communication, javascript, scala, docker, analytics, ci/cd, snowflake, postgresql",Software Engineer,United States
Senior Software Engineer,"DrFirst, Inc.",United States,"java, python, c++, sql, git, problem solving",Software Engineer,United States
Sr .Net Engineer,Best Job Tool,United States,"java, sql, excel, javascript, react, angular, leadership, excel, c#, creativity, java, teamwork, sql, erp, r, javascript, scala, cybersecurity, analytics, devops, go",Software Engineer,United States
Sr Data Engineer (SQL,Perennial Resources International,New York City Metropolitan Area,r,Software Engineer,New York City Metropolitan Area
Senior React Native Engineer,Three Tech Consulting,United States,"react, git, scala, r",Software Engineer,United States
Python Developer,Best Job Tool,United States,"python, java, sql, excel, javascript, node, aws, git, linux, mysql, excel, java, python, sql, aws, r, linux, erp, communication, javascript, oracle, go",Software Engineer,United States
Senior Frontend Developer,Plaza Recruitment Inc.,"Snoqualmie, WA","react, azure, azure, r",Software Engineer,Snoqualmie
07092025.3 Full Stack Developer (Part-Time Hourly),"Next Phase Solutions and Services, Inc.","Columbia, MD","java, python, c++, sql, git, problem solving",Software Engineer,Columbia
Senior Physical Security System Engineer,ByteDance,"San Jose, CA","java, python, c++, sql, git, problem solving",Software Engineer,San Jose
Senior Backend Engineer,GigaML,San Francisco Bay Area,"java, python, c++, sql, git, problem solving",Software Engineer,San Francisco Bay Area
Engine Systems Engineer,Boom Supersonic,"Denver, CO","java, python, c++, sql, git, problem solving",Software Engineer,Denver
Java Engineer,S M Software Solutions Inc,"O'Fallon, MO","java, erp, r, java",Software Engineer,O'Fallon
Senior Backend Engineer,Three Tech Consulting,United States,"node, r, typescript",Software Engineer,United States
Machine Learning Research Scientist - Mellon College of Science - Pittsburgh Supercomputing Center,Carnegie Mellon University,"Pittsburgh, PA","java, python, c++, sql, git, problem solving",Software Engineer,Pittsburgh
Dotnet Developer,HCLTech,"Seattle, WA","java, python, c++, sql, git, problem solving",Software Engineer,Seattle
Founding Engineer,Vulcan Technologies,"Austin, TX","java, python, c++, sql, git, problem solving",Software Engineer,Austin
Analytics Engineer – Power BI,Learning Consultant,United States,"java, python, c++, sql, git, problem solving",Software Engineer,United States
Data Engineer,HCLTech,"Washington, United States","java, python, c++, sql, git, problem solving",Software Engineer,Washington
147437-Programmer Analyst 4 - AI Developer,S M Software Solutions Inc,"Lansing, MI","java, python, c++, sql, git, problem solving",Software Engineer,Lansing
Forward Deployed Engineer,Kastle (YC S24),"San Francisco, CA","java, python, c++, sql, git, problem solving",Software Engineer,San Francisco
Java Developer,Hirenza,United States,"java, react, aws, git, agile, mongodb, java, communication, aws, r, erp, scala, agile, go",Software Engineer,United States
Backend Engineer,Best Job Tool,United States,"python, java, excel, node, aws, git, agile, excel, java, python, aws, r, erp, scala, agile, typescript",Software Engineer,United States
Senior Java Developer,dynaConnections,"Austin, TX","agile, r, bigdata, agile, cloudcomputing, go",Software Engineer,Austin
Associate Developer CRM,VeriPark,United States,"java, sql, javascript, git, c#, java, sql, r, javascript, crm",Software Engineer,United States
Data Scientist,Boom Supersonic,"Denver, CO","java, python, c++, sql, git, problem solving",Software Engineer,Denver
Front-End Developer: 25-05445,"Akraya, Inc.","Sunnyvale, CA","java, python, c++, sql, git, problem solving",Software Engineer,Sunnyvale
Software Engineer,Boom Supersonic,"Denver, CO","java, python, c++, sql, git, problem solving",Software Engineer,Denver
Associate Computational Scientist – Mellon College of Science – Pittsburgh Supercomputing Center,Carnegie Mellon University,"Pittsburgh, PA","java, python, c++, sql, git, problem solving",Software Engineer,Pittsburgh
Software Engineer,CDL PowerSuite™,"Spokane, WA","agile, agile, r",Software Engineer,Spokane
Site Reliability Engineer,TP-Link,"Irvine, CA","java, python, c++, sql, git, problem solving",Software Engineer,Irvine
Software Development Intern,Delta Dental of Iowa,"Johnston, IA","git, r, go",Software Engineer,Johnston
Software Engineer,GigaML,"San Francisco, CA","java, python, c++, sql, git, problem solving",Software Engineer,San Francisco
UI Developer,Hirenza,United States,"python, java, excel, javascript, html, css, aws, git, excel, html, java, python, css, aws, r, javascript, scala, snowflake, go",Data Scientist,United States
AI Prompt & Product Engineer,Simbie AI,"New York, NY","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,New York
Front-End Developer (React),"Infinite Resource Solutions, LLC",Atlanta Metropolitan Area,"sql, react, leadership, sql, r",Data Scientist,Atlanta Metropolitan Area
C++ Developer,Atto Trading,"New York County, NY","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,New York County
Software Engineer - Prop-Tech,The Flex,"San Marino, CA","git, adaptability, r",Data Scientist,San Marino
Senior Software Engineer,Just Words,"San Francisco, CA","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,San Francisco
Systematics/FIS Software Engineer,"Zillion Technologies, Inc.",United States,r,Data Scientist,United States
AWS Data Engineer (local candidates only,Perma Technologies,"Malvern, PA","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Malvern
Python Developer,S M Software Solutions Inc,"Mountain View, CA","python, scala, r, python",Data Scientist,Mountain View
Software Engineer Level 3 or 4 - R10205893,Northrop Grumman,"Aurora, CO","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Aurora
Cloud Engineer,MegazoneCloud Global,United States,r,Data Scientist,United States
Senior AI / ML Engineer,Endeavor Flow,United States,r,Data Scientist,United States
Software Engineering Intern,Boom Supersonic,"Denver, CO","aws, aws, r, sem, go",Data Scientist,Denver
Senior Engineer - REMOTE,GEICO,"Chevy Chase, MD","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Chevy Chase
Director of Applied AI Solutions,MegazoneCloud Global,United States,r,Data Scientist,United States
Engine Systems Engineering Intern,Boom Supersonic,"Denver, CO","sem, r, problemsolving, go",Data Scientist,Denver
Data Engineer,S M Software Solutions Inc,"Mountain Gate, CA","r, analytics, dataengineering",Data Scientist,Mountain Gate
Senior Data Science / LLM Engineer (Fine-tuning,Jobot,"Matthews, NC","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Matthews
Programmer I,Mass General Brigham,"Boston, MA","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Boston
Application Developer,Kyndryl,"Virginia, United States","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Virginia
Software Engineer,Hirenza,United States,"leadership, creativity, communication, r, spark, go",Data Scientist,United States
Future Employment Opportunities (Engineering & Product),Entera,"New York, NY","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,New York
Staff Machine Learning Scientist,EPM Scientific,"Boston, MA","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Boston
Senior Data Science / LLM Engineer (Fine-tuning,Jobot,"West McLean, VA","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,West McLean
Research Assistant,Inside Higher Ed,"Baltimore, MD","python, machine learning, statistics, deep learning, nlp, r",Data Scientist,Baltimore
Full Stack Developer,Hirenza,United States,"python, java, sql, excel, javascript, node, aws, docker, excel, java, python, sql, aws, r, communication, javascript, scala, docker, analytics, ci/cd, snowflake, postgresql",Data Scientist,United States
