Job Title,Company,Location,Skill,Role,City
Front-End Developer Intern,UM IT PRIVATE LIMITED,India,r,Software Engineer,Pune
React Js Intern,CrakCode,"Pune, Maharashtra  ","html, css, javascript, react.js, redux",Software Engineer,Pune
Automation TL  ,AlgoSec,"New Delhi, Delhi  ","go, r",Software Engineer,New Delhi
SiteCore Developer,LIXIL,"Gurugram, Haryana  ",r,Software Engineer,Gurugram
Software Developer  ,AlgoSec,"New Delhi, Delhi  ","go, r",Software Engineer,New Delhi
Software Engineer,Coral Business Solutions,"Kochi, Kerala  ","java, sql, javascript, html, css, erp, html, sql, r, css, javascript, java, go",Software Engineer,Kochi
Full Stack Web Developer Intern,UM IT Solutions,India,r,Software Engineer,Pune
Software Developer (Devices)  ,AlgoSec,"New Delhi, Delhi  ","go, r",Software Engineer,New Delhi
Front-End Developer Intern,UM IT Solutions,India,r,Software Engineer,Pune
Full Stack Engineer,Staffingine LLC,India,r,Software Engineer,Pune
Full Stack Automation Developer  ,AlgoSec,"New Delhi, Delhi  ","agile, agile, go, r",Software Engineer,New Delhi
Marketing Specialist,Coral Business Solutions,"Aluva, Kerala  ","erp, projectmanagement, r, analytics, communication, go",Software Engineer,Aluva
Microsoft ETL / SSIS Developers,Fluor Corporation,"Vadodara, Gujarat  ","sql, excel, sas, sql, r, etl, datawarehousing, go, excel",Software Engineer,Vadodara
Full Stack Developer | Node.js,ChatDMC,India,"html, css, javascript, react.js, node.js, sql",Software Engineer,Pune
Lead Generative AI Engineer,Next Mantra Solution Private Limited,"Gurugram, Haryana  ","Python, ML/DL, LLM fine-tuning, NLP, Prompt Engineering, Data Engineering, Statistics, Cloud (AWS/GCP/Azure)",Software Engineer,Gurugram
Software Engineer Intern,Pulchritude® Fashion Studio,India,r,Software Engineer,Pune
Salesforce Developer,LIXIL,"Gurugram, Haryana  ","excel, git, salesforce, r, excel",Software Engineer,Gurugram
Software Engineer Intern,Esync Technologies,India,"java, python, c++, git, problem solving",Software Engineer,Pune
Lead Test Engineer,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, scrum, scrum, r, creativity, go, excel",Software Engineer,Chennai
Senior Validation Engineer,ValGenesis,"Chennai, Tamil Nadu  ","excel, git, creativity, go, r, excel",Software Engineer,Chennai
Application Specialist RTR,LIXIL,"Gurugram, Haryana  ","sap, go, r",Software Engineer,Gurugram
Laravel Developer Intern,Entelligo,"Noida, Uttar Pradesh  ","sql, php, sql, r, mysql",Software Engineer,Noida
Data/ML Engineer,Gleantap,India,r,Software Engineer,Pune
AlgoNext Automation Developer  ,AlgoSec,"New Delhi, Delhi  ","agile, agile, go, r",Software Engineer,New Delhi
Sr.Full Stack Developer - .NET,UWorld,"Hyderabad, Telangana  ",r,Software Engineer,Hyderabad
Principal Software Engineer,Microsoft,India,"excel, aws, erp, r, scala, aws, go, excel",Software Engineer,Pune
Senior SQL Developer,Fluor Corporation,"Vadodara, Gujarat  ","excel, communication, go, r, excel",Software Engineer,Vadodara
Microsoft PowerBI Reports Developers,Fluor Corporation,"Vadodara, Gujarat  ","excel, powerbi, r, analytics, communication, go, businessintelligence, excel",Software Engineer,Vadodara
QA Agile Testers,Fluor Corporation,"Vadodara, Gujarat  ","agile, agile, go, r",Software Engineer,Vadodara
Data Engineer,LIXIL,"Gurugram, Haryana  ","businessintelligence, go, r, analytics",Software Engineer,Gurugram
SAP Developer,Be a Catalyst (BaC),"Bengaluru, Karnataka  ",r,Software Engineer,Bengaluru
Python Developer Intern,UM IT PRIVATE LIMITED,India,r,Software Engineer,Pune
Development Engineer  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Scientist,New Delhi
Data Science Intern,Skillfied Mentor Jobs,India,r,Data Scientist,Pune
Web Developer Intern,UM IT Solutions,India,r,Data Scientist,Pune
Fullstack Developer (Next.JS+Express.JS),NEXT-GEN BUSINESS CONSULTANCY,"Ahmedabad, Gujarat  ",r,Data Scientist,Ahmedabad
Data Analyst Internship – Work From Home / Remote,SkillFied Mentor,India,"python, sql, excel, tableau, power bi, data visualization",Data Scientist,Pune
Senior QA Automation Engineer,Info Services,"Chennai, Tamil Nadu  ",r,Data Scientist,Chennai
Software Engineer,CodenceBridge Technologies,India,r,Data Scientist,Pune
Flutter Intern,Zymo,"Mumbai, Maharashtra  ",r,Data Scientist,Mumbai
Frontend Developer,Symfor,"Hyderabad, Telangana  ",r,Data Scientist,Hyderabad
Junior android developer,Koogle®,"New Delhi, Delhi  ",r,Data Scientist,New Delhi
Data Associate,S&P Global,"Hyderabad, Telangana  ","supplychain, go, r, analytics",Data Scientist,Hyderabad
Student Intern,InternDesire,India,r,Data Scientist,Pune
Web Developer Intern,UM IT PRIVATE LIMITED,India,r,Data Scientist,Pune
CloudFlow Automation Developer  ,AlgoSec,"New Delhi, Delhi  ","agile, agile, go, r",Data Scientist,New Delhi
Front-End Developer Intern,UM IT PRIVATE LIMITED,India,r,Data Scientist,Pune
React Js Intern,CrakCode,"Pune, Maharashtra  ","html, css, javascript, react.js, redux",Data Scientist,Pune
Automation TL  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Scientist,New Delhi
Remote Data Analyst Internship – Immediate Joiners (1–3 Months),Skillfied Mentor Jobs,India,"python, sql, excel, tableau, power bi, data visualization",Data Scientist,Pune
Software Developer  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Scientist,New Delhi
SiteCore Developer,LIXIL,"Gurugram, Haryana  ",r,Data Scientist,Gurugram
Software Engineer,Coral Business Solutions,"Kochi, Kerala  ","java, sql, javascript, html, css, erp, html, sql, r, css, javascript, java, go",Data Scientist,Kochi
Full Stack Web Developer Intern,UM IT Solutions,India,r,Data Scientist,Ahmedabad
Data Science Intern,UM IT Solutions,India,r,Data Scientist,Ahmedabad
Software Developer (Devices)  ,AlgoSec,"New Delhi, Delhi  ","go, r",Data Scientist,New Delhi
Software Engineer Intern – AI-Powered Tech Startup,SkillsCapital,India,"java, python, c++, git, problem solving",Data Scientist,Ahmedabad
Front-End Developer Intern,UM IT Solutions,India,r,Data Scientist,Ahmedabad
Full Stack Engineer,Staffingine LLC,India,r,Data Scientist,Ahmedabad
Full Stack Automation Developer  ,AlgoSec,"New Delhi, Delhi  ","agile, agile, go, r",Data Scientist,New Delhi
Full Stack Developer | Node.js,ChatDMC,India,"html, css, javascript, react.js, node.js, sql",Data Scientist,Ahmedabad
